seq_no|Company|Supplier Invoice Document|Invoice Date|Invoice Line Amount|Invoice Created Date|Purchase Orders|Purchase Order Line|Item|Unit of Measure|Distribution Quantity|Line Description|Unit Cost|Supplier|Supplier ID|Ledger Account|Spend Category|Cost Center|Cost Center ID|Payment Status|Payment Date|FY25?|Check Number|Freight Amount|Other Charges|Invoice Status|Supplier Invoice Line Distribution|Invoice Total Amount|Derived Invoice Line Amount|CCHS_Description|UMass_Description
14852681|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-537849|1/16/2025|-520.0|1/17/2025|PO-215803|PO-215803 - Line 1|ITM-412457 - MASK PROCEDURE EARLOOP STANDARD BLUE|Case|20.0|MASK PROCEDURE EARLOOP STANDARD BLUE|26.0|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10010 - 4018 Presurgical Evaluation Clinic|CC100104018|Paid|2/10/2025|Yes|1431255.0|0|0|Approved|Supplier Invoice Adjustment: SINV-537849 - ITM-412457 - MASK PROCEDURE EARLOOP STANDARD BLUE - 520|-494.0|520.0|MASK,FACE,BLUE,PROCEDURE,EARLOOP|MASK PROCEDURE EARLOOP STANDARD BLUE
14853212|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-552708|1/29/2025|-163.5|1/30/2025|PO-222568|PO-222568 - Line 28|ITM-449240 - PASTE PROTECTANT SKIN ZGUARD PHYTOPLEX REMEDY 4OZ|Case|5.0|PASTE PROTECTANT SKIN ZGUARD PHYTOPLEX REMEDY 4OZ|32.7|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|Inventory|CC9000|Paid|2/21/2025|Yes|1481336.0|0|0|Approved|Supplier Invoice Adjustment: SINV-552708 - ITM-449240 - PASTE PROTECTANT SKIN ZGUARD PHYTOPLEX REMEDY 4OZ - 163.5|-163.5|163.5|PASTE, REMEDY PHYTOPLEX SKIN PROTECTANT 4 OZ|PASTE PROTECTANT SKIN ZGUARD PHYTOPLEX REMEDY 4OZ
14853271|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice Adjustment: SINV-554604|1/31/2025|272.0|1/31/2025|PO-213156||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|34000 - 2250 Surgery 67 Belmont|CC340002250|Paid|2/24/2025|Yes|1482103.0|0|0|Approved|Supplier Invoice Adjustment: SINV-554604  - -272|-808.0|272.0|Freight|freight
14854307|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice Adjustment: SINV-587396|2/28/2025|-78.0|2/28/2025|PO-226392|PO-226392 - Line 1|ITM-412457 - MASK PROCEDURE EARLOOP STANDARD BLUE|Case|3.0|MASK PROCEDURE EARLOOP STANDARD BLUE|26.0|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|34000 - 1506 Ophthalmology Northboro|CC340001506|Paid|3/7/2025|Yes|1532662.0|0|0|Approved|Supplier Invoice Adjustment: SINV-587396 - ITM-412457 - MASK PROCEDURE EARLOOP STANDARD BLUE - 78|-53.0|78.0|MASK,FACE,BLUE,PROCEDURE,EARLOOP|MASK PROCEDURE EARLOOP STANDARD BLUE
14854738|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-598201|3/8/2025|-53.03|3/10/2025|PO-235828|PO-235828 - Line 4|ITM-400982 - SOLUTION INHALATION WATER BAG STERILE 1000ML|Case|1.0|SOLUTION INHALATION WATER BAG STERILE 1000ML|53.03|Medline Industries Inc|2767|8300:Medical and Surgical supplies|IV Solutions and Supplies|10010 - 1710 Respiratory Therapy|CC100101710|Paid|4/4/2025|Yes|1634816.0|0|0|Approved|Supplier Invoice Adjustment: SINV-598201 - ITM-400982 - SOLUTION INHALATION WATER BAG STERILE 1000ML - 53.03|-53.03|53.03|SOLUTION INHALATION STER H2O 2000ML|SOLUTION INHALATION WATER BAG STERILE 1000ML
14854798|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-601378|3/12/2025|-11976.0|3/12/2025|PO-210833|PO-210833 - Line 13|ITM-428008 - SOLIDIFIER TRADITIONAL 1500CC LIQUI-LOC|Case|96.0|SOLIDIFIER TRADITIONAL 1500CC LIQUI-LOC|124.75|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|Inventory|CC9000|Paid|3/19/2025|Yes|1583003.0|0|0|Approved|Supplier Invoice Adjustment: SINV-601378 - ITM-428008 - SOLIDIFIER TRADITIONAL 1500CC LIQUI-LOC - 11976|-13047.22|11976.0|Solidifier: 3000cc Liqui-Loc Traditional Solidifier, BottleLiqui-Loc Traditional|SOLIDIFIER TRADITIONAL 1500CC LIQUI-LOC
14855289|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-618470|3/26/2025|-54.42|3/26/2025|PO-212344|PO-212344 - Line 1||Each|2.0|"Metzenbaum Dissecting Scissors, Curved, Blunt/Blunt, 12"" (30 cm)"|27.21|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10020 - 4180 Pediatrics Clinic|CC100204180|Paid|4/9/2025|Yes|1659928.0|0|0|Approved|Supplier Invoice Adjustment: SINV-618470  - 54.42|-34.09|54.42|"Scissors: Metzenbaum Dissecting Scissors, Curved, Blunt/Blunt, 9"" (22.9 cm)Knig"|"Metzenbaum Dissecting Scissors, Curved, Blunt/Blunt, 12"" (30 cm)"
14855957|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-629508|4/2/2025|-41.58|4/3/2025|PO-244131|PO-244131 - Line 13|ITM-416924 - PAD PREP ALCOHOL 2 PLY STERILE MEDIUM|Case|2.0|PAD PREP ALCOHOL 2 PLY STERILE MEDIUM|20.79|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|Inventory|CC9000|Paid|4/4/2025|Yes|1634816.0|0|0|Approved|Supplier Invoice Adjustment: SINV-629508 - ITM-416924 - PAD PREP ALCOHOL 2 PLY STERILE MEDIUM - 41.58|-41.58|41.58|ALCOHOL PREP, MEDIUM STRL 2 PLY|PAD PREP ALCOHOL 2 PLY STERILE MEDIUM
14856922|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-656037|4/10/2025|-1739.65|4/23/2025|PO-222356|PO-222356 - Line 2|ITM-404670 - DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER|Box|5.0|DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER|347.93|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|Inventory|CC9000|Paid|4/25/2025|Yes|1711178.0|0|0|Approved|Supplier Invoice Adjustment: SINV-656037 - ITM-404670 - DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER - 1739.65|-1739.65|1739.65|"Dressings: Aquacel Hydrofiber Ribbon Dressing with Strengthening Fiber, 0.75"" x"|DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER
14856923|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-656038|4/10/2025|-1739.65|4/23/2025|PO-224872|PO-224872 - Line 7|ITM-404670 - DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER|Box|5.0|DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER|347.93|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|Inventory|CC9000|Paid|4/28/2025|Yes|1711574.0|0|0|Approved|Supplier Invoice Adjustment: SINV-656038 - ITM-404670 - DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER - 1739.65|-1739.65|1739.65|"Dressings: Aquacel Hydrofiber Ribbon Dressing with Strengthening Fiber, 0.75"" x"|DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER
