seq_no|Supplier|Invoice_Date|Line_Description|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
14892919|Medline Industries Inc|10/9/2024|[ Catalog: BIV850190 ] [ Item: 181452 ] TUBE,TRACHEOSTOMY,SZ 9|1.0|Each|96.4|96.4
14892973|Medline Industries Inc|10/9/2024|ITM-404730 - THERMOMETER ELECTRONIC ORAL PROBE 4IN SURETEMP PLUS 692|2.0|Each|188.49|376.98
14893017|Medline Industries Inc|10/9/2024|[ Catalog: HCS70004 ] COMPRESSOR,NEBULIZER,AEROMIST COMPACT|1.0|Case - CA|145.95|145.95
14895285|Medline Industries Inc|10/10/2024|ITM-429806 - PACK KIDNEY TRANSPLANT|1.0|Case|688.47|688.47
14895344|Medline Industries Inc|10/10/2024|ITM-427589 - ALCOHOL ISOPROPYL 70PERCENT 1GALLON|1.0|Case|79.97|79.97
14895349|Medline Industries Inc|10/10/2024|freight|0.0||0.0|480.0
14895380|Medline Industries Inc|10/10/2024|ITM-429465 - LOOP VESSEL MINI RED|1.0|Case|114.4|114.4
14895411|Medline Industries Inc|10/10/2024|freight|0.0||0.0|25.95
14895446|Medline Industries Inc|10/10/2024|[ Catalog: NON25224 ] GAUZE,SPONGE,2X2,4PLY,NS,NW,LF|5.0|Case|20.3|101.5
14895447|Medline Industries Inc|10/10/2024|freight|0.0||0.0|147.85
14895467|Medline Industries Inc|10/10/2024|freight|0.0||0.0|85.35
14895468|Medline Industries Inc|10/10/2024|freight|0.0||0.0|28.05
14895471|Medline Industries Inc|10/10/2024|freight|0.0||0.0|22.39
14895492|Medline Industries Inc|10/10/2024|freight|0.0||0.0|32.51
14895526|Medline Industries Inc|10/10/2024|freight|0.0||0.0|29.08
14895552|Medline Industries Inc|10/10/2024|[ Catalog: BIV850190 ] TUBE,TRACHEOSTOMY,SZ 9|1.0|Each|96.4|96.4
14895553|Medline Industries Inc|10/10/2024|freight|0.0||0.0|23.33
