SEQ_NO|SUPPLIER|INVOICE_DATE|LINE_DESCRIPTION|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
1385304|1580 Medline Industries Inc|2024-11-19|Freight|0.0||0.0|25.11
1385327|1580 Medline Industries Inc|2024-11-19|Freight|0.0||0.0|28.73
1387092|1580 Medline Industries Inc|2024-11-18|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|7.0|Bag|1.86|13.02
1387166|1580 Medline Industries Inc|2024-11-18|STRIP,MULTISTIX 10 SG REAGENT,100/VIAL|2.0|Bottle|34.24|68.48
1387174|1580 Medline Industries Inc|2024-11-18|STRIP,MULTISTIX 10 SG REAGENT,100/VIAL|2.0|Bottle|34.24|68.48
1387175|1580 Medline Industries Inc|2024-11-18|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|2.0|Box|29.33|58.66
1387210|1580 Medline Industries Inc|2024-11-18|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|10.0|Box|14.75|147.5
1387212|1580 Medline Industries Inc|2024-11-18|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|10.0|Box|3.26|32.6
1387242|1580 Medline Industries Inc|2024-11-18|TUBING STERILIZATION STEAM AND GAS PAPER/POLY 8INX100FT|1.0|Case|58.27|58.27
1387405|1580 Medline Industries Inc|2024-11-18|FREIGHT|1.0||85.81|85.81
1387406|1580 Medline Industries Inc|2024-11-18|PASTE, REMEDY PHYTOPLEX SKIN PROTECTANT 4 OZ|2.0|Case|19.68|39.36
1387638|1580 Medline Industries Inc|2024-11-18|SUTURE, 2-0 SILK FS 18IN|2.0||22.89|45.78
1387663|1580 Medline Industries Inc|2024-11-18|SUTURE, 6-0 ETHILON P-1 18IN|3.0||60.68|182.04
1387751|1580 Medline Industries Inc|2024-11-17|SOLUTION INHALATION STER H2O 2000ML|125.0|Case|33.0|4125.0
1387771|1580 Medline Industries Inc|2024-11-17|Freight|0.0||0.0|48.71
1387885|1580 Medline Industries Inc|2024-11-16|DRESSING,BORDER,MEPILEX,POST OP,AG,4|10.0|Each|20.87|208.7
1387915|1580 Medline Industries Inc|2024-11-16|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|4.0|Box|3.26|13.04
1387941|1580 Medline Industries Inc|2024-11-16|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|6.0|Box|14.75|88.5
1387952|1580 Medline Industries Inc|2024-11-16|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|10.0|Bag|1.86|18.6
1388003|1580 Medline Industries Inc|2024-11-16|INDICTR,BIO,ATEST,RPID,24MIN,F/ H202|6.0|Bag|341.98|2051.88
1388022|1580 Medline Industries Inc|2024-11-16|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|4.0|Box|3.26|13.04
1388074|1580 Medline Industries Inc|2024-11-15|BANDAGE GZ 6 PLY BULKEE II 4.5INX4.1YD|40.0|Case|59.74|2389.6
1390078|1580 Medline Industries Inc|2024-11-15|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|1.0|Case|147.52|147.52
1390092|1580 Medline Industries Inc|2024-11-15|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|1.0|Case|134.6|134.6
1390162|1580 Medline Industries Inc|2024-11-15|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|1.0|Case|1367.9|1367.9
1390585|1580 Medline Industries Inc|2024-11-15|SUTURE, 2-0 SILK FS 18IN|2.0||22.89|45.78
1390624|1580 Medline Industries Inc|2024-11-14|Freight|0.0||0.0|12.14
1390626|1580 Medline Industries Inc|2024-11-14|Freight|0.0||0.0|12.14
1390633|1580 Medline Industries Inc|2024-11-14|Freight|0.0||0.0|11.41
1390636|1580 Medline Industries Inc|2024-11-14|Freight|0.0||0.0|12.94
1390638|1580 Medline Industries Inc|2024-11-14|Freight|0.0||0.0|9.81
1390640|1580 Medline Industries Inc|2024-11-14|Freight|0.0||0.0|31.61
1390644|1580 Medline Industries Inc|2024-11-14|Freight|0.0||0.0|26.86
